Reaction #,E.C. #,Gene ID ,Gene Description,equation,Pathway,References,,,,
rxn741,4.2.1.75,geneCsal3108,uroporphyrinogen-III synthase, hmbil -> h2o + uppg3,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn742,4.2.1.79,geneCsal2419,2-methylcitrate dehydratase, 2mcit -> 2mcacn + h2o,Propanoate metabolism,"51, 50, 33, 34, 28",,,,
rxn743,4.2.1.8,geneCsal2980,D-mannonate hydrolyase, mana -> 2ddglcn + h2o,Pentose and glucuronate interconversions,"51, 50, 33, 34",,,,
rxn744,4.2.1.9,geneCsal2664,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)", 23dhmb -> 3mob + h2o,"Valine, leucine and isoleucine biosynthesis","51, 50, 33, 34,28, 46, 39",,,,
rxn745,4.2.1.96,geneCsal1321,4a-hydroxytetrahydrobiopterin dehydratase,66e12hp5678h4ahp <-> 66e12hp78h6hp + h2o,phenylalanine degradation I (aerobic) ,"52 , 54, 53",,,,
rxn746,4.2.3.1,geneCsal3009,threonine synthase, h2o + phom -> pi + thrL,threonine biosynthesis from homoserine ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn747,4.2.3.3,geneCsal1558,methylglyoxal synthase, dhap -> mthgxl + pi,Pyruvate metabolism,"51, 50, 33, 34",,,,
rxn748,4.2.3.4,geneCsal0614,3-dehydroquinate synthase, 2dda7p -> 3dhq + pi,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34, 28, 39, 37",,,,
rxn749,4.2.3.5,geneCsal2466,chorismate synthase, 3psme -> chor + pi,"Phenylalanine, tyrosine and tryptophan biosynthesis","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn750,4.3.1.12,geneCsal2722,ornithine cyclodeaminase, orn -> nh4 + proL,Arginine and proline metabolism,"51, 50, 46, 39",,,,
rxn751,4.3.1.17,geneCsal0982,L-serine deaminase, serL -> nh4 + pyr,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn752,4.3.1.19,geneCsal0020,L-threonine deaminase, thrL -> 2obut + nh4,"Glycine, serine and threonine metabolism","51, 50, 33, 34, 28, 39, 37",,,,
rxn753,4.3.2.1,geneCsal3110,argininosuccinate lyase, argsuc <-> argL + fum,"arginine biosynthesis II (acetyl cycle) , arginine biosynthesis I ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn754,4.3.2.2,geneCsal2446,adenylosuccinate lyase, 25aics <-> aicar + fum,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn755,4.3.2.2,geneCsal2446,adenylsuccinate lyase, dcamp <-> amp + fum,Alanine and aspartate metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn756,4.4.1.5,geneCsal0217,lactoylglutathione lyase, gthrd + mthgxl -> lgtS,Pyruvate metabolism,"51, 50, 33, 34, 28",,,,
rxn757,4.6.1.12,geneCsal2637,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",2p4c2me <-> 2mecdp + cmp,Biosynthesis of steroids,"52 , 54, 53",,,,
rxn758,4.99.1.1,geneCsal0897,Ferrochelatase, fe2 + ppp9 -> (2) h + pheme,Porphyrin and chlorophyll metabolism,"51, 50, 33, 34, 28,37",,,,
rxn759,5.1.1.1,geneCsal2629,alanine racemase, alaL <-> alaD,Alanine and aspartate metabolism,"51, 50, 33, 34, 39, 37",,,,
rxn760,5.1.1.1,geneCsal2629,alanine racemase (irreversible), alaL -> alaD,D-Alanine metabolism,"51, 50, 33, 34, 39, 37",,,,
rxn761,5.1.1.13,geneCsal0199,Aspartate racemase,aspL <-> aspD,Alanine and aspartate metabolism,"52 , 54, 53",,,,
rxn762,5.1.1.3,geneCsal1338,glutamate racemase, gluD <-> gluL,"peptidoglycan biosynthesis I , peptidoglycan biosynthesis III ","51, 50, 33, 34, 39, 37",,,,
rxn763,5.1.1.7,geneCsal3113,diaminopimelate epimerase, 26dapLL <-> 26dapM,lysine biosynthesis I ,"51, 50, 33, 34, 39, 37",,,,
rxn764,5.1.2.2,geneCsal2476,Mandelate racemase,mndlS <-> mndlR,Benzoate degradation via hydroxylation,"52 , 54, 53",,,,
rxn765,5.1.2.3,geneCsal2393,3-hydroxybutyryl-CoA epimerase,3hbcoa <-> R3hbcoa,fatty acid ?-oxidation I ,"52 , 54, 53",,,,
rxn766,5.1.3.1,geneCsal2328,ribulose 5-phosphate 3-epimerase, ru5pD <-> xu5pD,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn767,5.1.3.12,geneCsal1760,UDP-glucuronate 5'-epimerase,udpglcur <-> udpidu,Nucleotide sugars metabolism,"52 , 54, 53",,,,
rxn768,5.1.3.2,geneCsal1722,UDPglucose 4-epimerase, udpg <-> udpgal,Galactose metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn769,5.1.3.20,geneCsal0008,ADP-D-glycero-D-manno-heptose epimerase, adphepDD -> adphepLD,Lipopolysaccharide biosynthesis,"51, 50, 33, 34, 39, 37",,,,
rxn770,5.1.3.3,geneCsal0799,aldose-1-epimerase, galbD -> gal,Glycolysis / Gluconeogenesis,"51, 50, 33, 34",,,,
rxn771,5.2.1.2,geneCsal2205,maleylacetoacetate isomerase, 4mlacac -> 4fumacac,,"51, 50, 33, 28",,,,
rxn772,5.2.1.8,geneCsal0918,Peptidylprolyl isomerase,ppro180 <-> ppro0,,"52 , 54, 53",,,,
rxn773,5.3.1.1,geneCsal3078,triose-phosphate isomerase, dhap <-> g3p,"glycolysis I , glycolysis II , Calvin-Benson-Bassham cycle , glycolysis III (Thermotoga) ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn774,5.3.1.13,geneCsal2221,arabinose-5-phosphate isomerase, ru5pD <-> ara5p,CMP-KDO biosynthesis I,"51, 50, 33, 34, 37",,,,
rxn775,5.3.1.16,geneCsal0517,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase, prfp <-> prlp,histidine biosynthesis ,"51, 50, 33, 34,28, 46, 39",,,,
rxn776,5.3.1.16,geneCsal0517,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase (irreversible), prfp -> prlp,histidine biosynthesis ,"51, 50, 33, 34,28, 46, 39",,,,
rxn777,5.3.1.22,geneCsal3181,hydroxypyruvate isomerase, hpyr <-> 2h3oppan,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34",,,,
rxn778,5.3.1.24,geneCsal1260,phosphoribosylanthranilate isomerase (irreversible), pran -> 2cpr5p,tryptophan biosynthesis ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn779,5.3.1.26,geneCsal0757,galactose-6-phosphate isomerase, dgal6p <-> tag6pD,Pentose phosphate pathway,"51, 50, 39",,,,
rxn780,5.3.1.6,geneCsal0019,ribose-5-phosphate isomerase, r5p <-> ru5pD,"superpathway of gluconate degradation , Calvin-Benson-Bassham cycle , pentose phosphate pathway (non-oxidative branch) ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn781,5.3.1.7,,Mannose isomerase,man <-> fru,,"52 , 54, 53",,,,
rxn782,5.3.1.9,geneCsal0932,glucose-6-phosphate isomerase, g6p <-> f6p,"glycolysis I , gluconeogenesis I , GDP-mannose biosynthesis I , glycolysis III (Thermotoga) , formaldehyde oxidation I , GDP-mannose biosynthesis II , homolactic fermentation ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn783,5.3.1.9,geneCsal0932,Glucose-6-phosphate isomerase, g6p <-> g6pB,"glycolysis I , gluconeogenesis I , GDP-mannose biosynthesis I , glycolysis III (Thermotoga) , formaldehyde oxidation I , GDP-mannose biosynthesis II , homolactic fermentation ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn784,5.3.1.9,geneCsal0932,Glucose-6-phosphate isomerase, g6pB <-> f6pB,"glycolysis I , gluconeogenesis I , GDP-mannose biosynthesis I , glycolysis III (Thermotoga) , formaldehyde oxidation I , GDP-mannose biosynthesis II , homolactic fermentation ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn785,5.3.3.10,geneCsal1737,5-carboxymethyl-2-hydroxymuconate Delta-isomerase ,5cm2hmc <-> 5c2oh3edt,4-hydroxyphenylacetate degradation ,"52 , 54, 53",,,,
rxn786,5.3.3.2,geneCsal2826,isopentenyl-diphosphate D-isomerase, ipdp <-> dmpp,methylerythritol phosphate pathway ,"51, 50, 33, 34, 28, 39",,,,
rxn787,5.3.3.2,geneCsal2826,isopentenyl-diphosphate D-isomerase, ipdp -> dmpp,methylerythritol phosphate pathway ,"51, 50, 33, 34, 28, 39",,,,
rxn788,5.4.2.1,geneCsal0046,phosphoglycerate mutase, 2pg <-> 3pg,"glycolysis I , glycolysis II , gluconeogenesis I , glycolysis III (Thermotoga) ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn789,5.4.2.10,geneCsal3079,phosphoglucosamine mutase, gam1p <-> gam6p,UDP-N-acetyl-D-glucosamine biosynthesis I ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn790,5.4.2.7,geneCsal0829,phosphopentomutase, r1p <-> r5p,"pyrimidine deoxyribonucleosides degradation , degradation of purine ribonucleosides ","51, 50, 33, 34, 28, 39, 37",,,,
rxn791,5.4.2.7,geneCsal0829,phosphopentomutase 2 (deoxyribose), 2dr1p <-> 2dr5p,"pyrimidine deoxyribonucleosides degradation , degradation of purine ribonucleosides ","51, 50, 33, 34, 28, 39, 37",,,,
rxn792,5.4.2.8,geneCsal2983,phosphomannomutase, man1p <-> man6p,"colanic acid building blocks biosynthesis , GDP-mannose biosynthesis I , GDP-mannose biosynthesis II ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn793,5.4.3.8,geneCsal3304,glutamate-1-semialdehyde aminotransferase, glu1sa <-> 5aop,tetrapyrrole biosynthesis I ,"51, 50, 33, 34,46, 39, 37",,,,
rxn794,5.4.3.8,geneCsal3304,glutamate-1-semialdehyde aminotransferase, glu1sa -> 5aop,tetrapyrrole biosynthesis I ,"51, 50, 33, 34,46, 39, 37",,,,
rxn795,5.4.99.5,geneCsal2166,chorismate mutase, chor -> pphn,phenylalanine biosynthesis I ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn796,5.5.1.2,geneCsal0298,"3-carboxy-cis,cis-muconate cycloisomerase",2c25h5of2ac <-> ccbtd124clt,protocatechuate degradation II (ortho-cleavage pathway) ,"52 , 54, 53",,,,
rxn797,6.1.1.1,geneCsal3050,tyrosyl-tRNA synthetase, atp + trnatyr + tyrL -> amp + ppi + tyrtrna,tRNA charging pathway ,"51, 50, 33, 34, 28, 46",,,,
rxn798,6.1.1.10,geneCsal2120,Methionyl-tRNA synthetase, atp + metL + trnamet -> amp + mettrna + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn799,6.1.1.11,geneCsal2315,Seryl-tRNA synthetase, atp + serL + trnaser -> amp + ppi + sertrna,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn800,6.1.1.11,geneCsal2315,Seryl-tRNA synthetase (selenocystein), atp + serL + trnasecys -> amp + ppi + sertrna(sec),tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn801,6.1.1.12,geneCsal1844,Aspartyl-tRNA synthetase, aspL + atp + trnaasp -> amp + asptrna + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn802,6.1.1.14,geneCsal0006,Glycyl-tRNA synthetase, atp + gly + trnagly -> amp + glytrna + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn803,6.1.1.15,geneCsal2139,Prolyl-tRNA synthetase, atp + proL + trnapro -> amp + ppi + protrna,tRNA charging pathway ,"51, 50, 33, 34, 28, 46",,,,
rxn804,6.1.1.16,geneCsal2051,Cysteinyl-tRNA synthetase, atp + cysL + trnacys -> amp + cystrna + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn805,6.1.1.17,geneCsal1211,Glutamyl-tRNA synthetase, atp + gluL + trnaglu -> amp + glutrna + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn806,6.1.1.18,geneCsal2052,Glutaminyl-tRNA synthetase, atp + glnL + trnagln -> amp + glntrna + ppi,tRNA charging pathway ,"51, 50, 33, 34, 28",,,,
rxn807,6.1.1.19,geneCsal0602,Arginyl-tRNA synthetase, argL + atp + trnaarg -> amp + argtrna + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn808,6.1.1.2,geneCsal2965,Tryptophanyl-tRNA synthetase, atp + trnatrp + trpL -> amp + ppi + trptrna,tRNA charging pathway ,"51, 50, 33, 34, 28, 46",,,,
rxn809,6.1.1.20,geneCsal1804,Phenylalanyl-tRNA synthetase, atp + pheL + trnaphe -> amp + phetrna + ppi,tRNA charging pathway ,"51, 50, 33, 34, 28, 46",,,,
rxn810,6.1.1.21,geneCsal2855,Histidyl-tRNA synthetase, atp + hisL + trnahis -> amp + histrna + ppi,tRNA charging pathway ,"51, 50, 33, 34, 28, 46",,,,
rxn811,6.1.1.3,geneCsal1799,Threonyl-tRNA synthetase, atp + thrL + trnathr -> amp + ppi + thrtrna,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn812,6.1.1.4,geneCsal2344,Leucyl-tRNA synthetase, atp + leuL + trnaleu -> amp + leutrna + ppi,tRNA charging pathway ,"51, 50, 33, 34, 28, 46",,,,
rxn813,6.1.1.5,geneCsal0481,Isoleucyl-tRNA synthetase, atp + ileL + trnaile -> amp + iletrna + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn814,6.1.1.6,geneCsal2997,Lysyl-tRNA synthetase, atp + lysL + trnalys -> amp + lystrna + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn815,6.1.1.7,geneCsal0625,Alanyl-tRNA synthetase, alaL + atp + trnaala -> alatrna + amp + ppi,tRNA charging pathway ,"51, 50, 33, 34,28, 46, 39",,,,
rxn816,6.1.1.9,geneCsal2922,Valyl-tRNA synthetase, atp + trnaval + valL -> amp + ppi + valtrna,tRNA charging pathway ,"51, 50, 33, 34, 28, 46",,,,
rxn817,6.2.1.1,geneCsal0865,acetyl-CoA synthetase, ac + atp + coa -> accoa + amp + ppi,"2-methylcitrate cycle I , acetate conversion to acetyl-CoA , oxidative ethanol degradation I ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn818,6.2.1.16,geneCsal1820,Acetoacetate--CoA ligase,atp+ acac+ coa <-> amp + ppi + accoa,Butanoate metabolism,"52 , 54, 53",,,,
rxn819,6.2.1.26,geneCsal2751,o-succinylbenzoate-CoA ligase, atp + coa + sucbz -> amp + ppi + sbzcoa,Ubiquinone biosynthesis,"51, 50, 33, 34, 39, 37",,,,
rxn820,6.2.1.3,geneCsal1468,fatty-acid--CoA ligase (octadecenoate), atp + coa + ocdcea <-> amp + odecoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn821,6.2.1.3,geneCsal1468,fatty-acid--CoA ligase (octadecanoate), atp + coa + ocdca <-> amp + ppi + stcoa,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn822,6.2.1.3,geneCsal1468,fatty-acid--CoA ligase (hexadecenoate), atp + coa + hdcea <-> amp + hdcoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn823,6.2.1.3,geneCsal1468,fatty-acid--CoA ligase (hexadecanoate), atp + coa + hdca <-> amp + pmtcoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn824,6.2.1.3,geneCsal1468,fatty-acid--CoA ligase (tetradecenoate), atp + coa + ttdcea <-> amp + ppi + tdecoa,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn825,6.2.1.3,geneCsal1468,fatty-acid--CoA ligase (tetradecanoate), atp + coa + ttdca <-> amp + ppi + tdcoa,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn826,6.2.1.3,geneCsal1468,"fatty-acid--CoA ligase (decanoate), peroxisomal", atp + coa + dca <-> amp + dcacoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn827,6.2.1.3,geneCsal1468,"fatty-acid--CoA ligase (dodecanoate), peroxisomal", atp + coa + ddca <-> amp + ddcacoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn828,6.2.1.3,geneCsal1468,"fatty-acid--CoA ligase (n-C24:0), peroxisomal", atp + coa + ttc <-> amp + ppi + ttccoa,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn829,6.2.1.3,geneCsal1468,"fatty-acid--CoA ligase (n-C26:0), peroxisomal", atp + coa + hexc <-> amp + hexccoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn830,6.2.1.3,geneCsal1468,fatty-acid--CoA ligase (octadecynoate), atp + coa + ocdcya <-> amp + ocdycacoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn831,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (dodecanoate transport via vectoral Co-A coupling),atp + coa + ddca + h -> amp + ddcacoa + h + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn832,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (decanoate transport via vectoral Co-A coupling),atp + coa + dca + h -> amp + dcacoa + h + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn833,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (tetradecanoate transport via vectoral Co-A coupling),atp + coa + h + ttdca -> amp + h + ppi + tdcoa,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn834,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling),atp + coa + h + hdca -> amp + h + pmtcoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn835,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling),atp + coa + h + ocdcea -> amp + h + odecoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn836,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling),atp + coa + h + ocdca -> amp + h + ppi + stcoa,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn837,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (octanoate transport via vectoral Co-A coupling),atp + coa + h + octa -> amp + h + occoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn838,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (hexanoate transport via vectoral Co-A coupling),atp + coa + h + hxa -> amp + h + hxcoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn839,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (tetradecenoate transport via vectoral Co-A coupling),atp + coa + h + ttdcea -> amp + h + ppi + tdecoa,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn840,6.2.1.3,geneCsal1468,fatty-acid-CoA ligase (hexadecenoate transport via vectoral Co-A coupling),atp + coa + h + hdcea -> amp + h + hdcoa + ppi,fatty acid ?-oxidation I,"51, 50, 33, 34, 28, 39",,,,
rxn841,6.2.1.5,geneCsal1220,succinyl-CoA synthetase (ADP-forming), atp + coa + succ <-> adp + pi + succoa,"TCA cycle , TCA cycle variation IV ","51, 50, 33, 34, 28, 39",,,,
rxn842,6.3.1.2,geneCsal1181 ,glutamine synthetase, atp + gluL + nh4 -> adp + glnL + h + pi,"nitrate reduction V (assimilatory) , glutamine biosynthesis ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn843,6.3.2.1,geneCsal3066,pantothenate synthase, alaB + atp + pantR -> amp + h + pntoR + ppi,"peptidoglycan biosynthesis III , peptidoglycan biosynthesis I ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn844,6.3.2.10,geneCsal2194,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,atp + udpamaggl <-> adp + pi + udpamagglaa,"peptidoglycan biosynthesis III , peptidoglycan biosynthesis I ","52 , 54, 53",,,,
rxn845,6.3.2.12,geneCsal1264,dihydrofolate synthase, atp + dhpt + gluL -> adp + dhf + pi,"peptidoglycan biosynthesis I , peptidoglycan biosynthesis III ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn846,6.3.2.12,geneCsal1264,dihydrofolate synthase, atp + dhpt + gluL -> adp + dhf + h + pi,"peptidoglycan biosynthesis I , peptidoglycan biosynthesis III ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn847,6.3.2.13,geneCsal2195,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase", 26dapM + atp + uamag -> adp + h + pi + ugmd,"peptidoglycan biosynthesis I , peptidoglycan biosynthesis III ","51, 50, 33, 34, 39, 37",,,,
rxn848,6.3.2.3,geneCsal0057,glutathione synthetase, atp + glucys + gly -> adp + gthrd + h + pi,glutathione biosynthesis ,"51, 50, 33, 34, 28",,,,
rxn849,6.3.2.4,geneCsal2188,D-alanine-D-alanine ligase (reversible), (2) alaD + atp <-> adp + alaala + h + pi,"peptidoglycan biosynthesis I , peptidoglycan biosynthesis III ","51, 50, 33, 34, 39, 37",,,,
rxn850,6.3.2.5,geneCsal2981,phosphopantothenate-cysteine ligase, 4ppan + ctp + cysL -> 4ppcys + cmp + h + ppi,coenzyme A biosynthesis ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn851,6.3.2.6,geneCsal2813,phosphoribosylaminoimidazolesuccinocarboxamide synthase, 5aizc + aspL + atp <-> 25aics + adp + h + pi,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn852,6.3.2.6,geneCsal2813,phosphoribosylaminoimidazolesuccinocarboxamide synthase, 5aizc + aspL + atp -> 25aics + adp + h + pi,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn853,6.3.2.8,geneCsal2189,UDP-N-acetylmuramoyl-L-alanine synthetase, alaL + atp + uamr -> adp + h + pi + uama,"peptidoglycan biosynthesis I , peptidoglycan biosynthesis III ","51, 50, 33, 34, 39, 37",,,,
rxn854,6.3.2.9,geneCsal2192,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase, atp + gluD + uama -> adp + h + pi + uamag,"peptidoglycan biosynthesis I , peptidoglycan biosynthesis III ","51, 50, 33, 34, 39, 37",,,,
rxn855,6.3.3.1,geneCsal2112,phosphoribosylaminoimidazole synthase, atp + fpram -> adp + air + (2) h + pi,5-aminoimidazole ribonucleotide biosynthesis II ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn856,6.3.3.2,geneCsal0021,5-formethyltetrahydrofolate cyclo-ligase, 5fthf + atp -> adp + methf + pi,"formylTHF biosynthesis II , folate transformations ","51, 50, 33, 28",,,,
rxn857,6.3.3.3,geneCsal1163,dethiobiotin synthase, atp + co2 + dann -> adp + dtbt + (3) h + pi,biotin biosynthesis I ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn858,6.3.3.3,geneCsal1163,dethiobiotin synthase, atp + co2 + dann <-> adp + dtbt + (3) h + pi,biotin biosynthesis I ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn859,6.3.4.13,geneCsal0909,phosphoribosylglycinamide synthase, atp + gly + pram <-> adp + gar + h + pi,biotin-carboxyl carrier protein,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn860,6.3.4.14,geneCsal2285,Biotin carboxylase,atp + btncCP + co2 <-> adp + pi + cbtncCP,biotin-carboxyl carrier protein ,"52 , 54, 53",,,,
rxn861,6.3.4.15,geneCsal0406,biotin-[acetyl-CoA-carboxylase] ligase, atp + btn + h -> btamp + ppi,Biotin metabolism,"51, 50, 46, 39, 37",,,,
rxn862,6.3.4.16,geneCsal3085,Carbamoyl-phosphate synthase (ammonia),(2) atp + nh3 + co2 + h2o <-> (2) adp + pi + cbp,Urea cycle and metabolism of amino groups,"52 , 54, 53",,,,
rxn863,6.3.4.2,geneCsal0617,CTP synthase (glutamine), atp + glnL + h2o + utp -> adp + ctp + gluL + (2) h + pi,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn864,6.3.4.2,geneCsal0617,CTP synthase (NH3), atp + nh4 + utp -> adp + ctp + (2) h + pi,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn865,6.3.4.4,geneCsal1282,adenylosuccinate synthase, aspL + gtp + imp -> dcamp + gdp + (2) h + pi,adenosine nucleotides de novo biosynthesis ,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn866,6.3.4.5,geneCsal2127,argininosuccinate synthase, aspL + atp + citrL -> amp + argsuc + h + ppi,"arginine biosynthesis II (acetyl cycle) , arginine biosynthesis I ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn867,6.3.4.5,geneCsal2127,"argininosuccinate synthase, reversible", aspL + atp + citrL <-> amp + argsuc + h + ppi,"arginine biosynthesis II (acetyl cycle) , arginine biosynthesis I ","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn868,6.3.5.1,geneCsal0495,NAD synthase (glutamine-hydrolysing), atp + dnad + glnL + h2o -> amp + gluL + h + nad + ppi,NAD salvage pathway I,"51, 50, 46",,,,
rxn869,6.3.5.2,geneCsal0731,GMP synthase, atp + glnL + h2o + xmp -> amp + gluL + gmp + (2) h + ppi,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn870,6.3.5.3,geneCsal0841,phosphoribosylformylglycinamidine synthase, atp + fgam + glnL + h2o -> adp + fpram + gluL + h + pi,arginine biosynthesis II (acetyl cycle),"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn871,6.3.5.5,geneCsal3086,carbamoyl-phosphate synthase (glutamine-hydrolysing), (2) atp + glnL + h2o + hco3 -> (2) adp + cbp + gluL + (2) h + pi,tetrahydrofolate biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn872,6.3.5.8,geneCsal2424,Aminodeoxychorismate synthase,chor + glnL <-> 4adcho + gluL,tetrahydrofolate biosynthesis ,"52 , 54, 53",,,,
rxn873,6.4.1.1,geneCsal1555,pyruvate carboxylase, atp + hco3 + pyr -> adp + h + oaa + pi,Citrate cycle (TCA cycle),"51, 50, 33, 28, 46, 39",,,,
rxn874,6.4.1.2,geneCsal0579,acetyl-CoA carboxylase, accoa + atp + hco3 -> adp + h + malcoa + pi,Fatty Acids and Lipids Biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn875,6.4.1.2,geneCsal0579,"acetyl-CoA carboxylase, reversible reaction", accoa + atp + hco3 <-> adp + h + malcoa + pi,Fatty Acids and Lipids Biosynthesis,"51, 50, 33, 34, 28, 39, 37",,,,
rxn876,6.5.1.2,geneCsal0703,DNA ligase (nad),nad + drntn + drntm <-> amp + nadnt + drntnm,DNA replication,"52 , 54, 53",,,,
rxn877,,geneCsal1728,D-Glucose exchange, glcDxt <-> glcD,,"5,6 ,59",,,,
rxn878,,,H2O exchange, h2oxt <-> h2o,,,,,,
rxn879,,geneCsal0712,Phosphate exchange, pixt <-> pi,,53,,,,
rxn880,,,H+ exchange, hxt <-> h,,,,,,
